"sample_id","qfield_project","taxon_name","collector_fullname","observation_subject","name_proposition","date_created"
"dbgi_007735","jbuf","Bellevalia romana (L.) Sweet","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.096Z"
"dbgi_007691","jbuf","Crocus versicolor Ker Gawl.","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.119Z"
"dbgi_007696","jbuf","Sternbergia lutea (L.) Spring.","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.142Z"
"dbgi_007666","jbuf","Iris lusitanica Ker-Gawl.","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.169Z"
"dbgi_007668","jbuf","Tulipa saxatilis Spreng.","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.195Z"
"dbgi_007713","jbuf","Narcissus calcicola Mendon§a","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.219Z"
"dbgi_007553","jbuf","Narcissus calcicola Mendon§a","Héloïse Coen","Flower",,"2025-04-14T16:01:51.243Z"
"dbgi_007777","jbuf","Narcissus poeticus L. 'Actaea'","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.266Z"
"dbgi_007594","jbuf","Narcissus poeticus L. 'Actaea'","Héloïse Coen","Flower",,"2025-04-14T16:01:51.289Z"
"dbgi_007537","jbuf","Muscari latifolium J. Kirk","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.315Z"
"dbgi_007572","jbuf","Muscari latifolium J. Kirk","Héloïse Coen","Flower",,"2025-04-14T16:01:51.340Z"
"dbgi_007506","jbuf","Muscari neglectum Ten.","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.363Z"
"dbgi_007548","jbuf","Muscari neglectum Ten.","Héloïse Coen",,,"2025-04-14T16:01:51.385Z"
"dbgi_007577","jbuf","Anemone ranunculoides L.","Héloïse Coen","Leaf",,"2025-04-14T16:01:51.408Z"
"dbgi_007550","jbuf","Anemone ranunculoides L.","Héloïse Coen","Flower",,"2025-04-14T16:01:51.430Z"
"dbgi_007523","jbuf","Derris elliptica Benth.","Héloïse Coen","Leaf",,"2025-04-14T16:02:37.586Z"
"dbgi_007811","jbuf","Strophanthus hispidus D.C.","Héloïse Coen","Leaf",,"2025-04-14T16:02:37.619Z"
"dbgi_007810","jbuf","Erythroxylum coca Lam var. coca","Héloïse Coen","Leaf",,"2025-04-14T16:02:37.643Z"
"dbgi_007738","jbuf","Camassia leichtlinii S. Watson","Héloïse Coen","Flower",,"2025-04-28T10:03:13.414Z"
"dbgi_007584","jbuf","Dodecatheon meadia L.","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.437Z"
"dbgi_007643","jbuf","Dodecatheon meadia L.","Héloïse Coen","Flower",,"2025-04-28T10:03:13.459Z"
"dbgi_007818","jbuf","Tulipa greigii Regel","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.482Z"
"dbgi_007817","jbuf","Tulipa greigii Regel","Héloïse Coen","Flower",,"2025-04-28T10:03:13.505Z"
"dbgi_007516","jbuf","Tulipa didieri Jord.","Héloïse Coen","Flower",,"2025-04-28T10:03:13.529Z"
"dbgi_007638","jbuf","Muscari armeniacum Baker","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.551Z"
"dbgi_007571","jbuf","Muscari armeniacum Baker","Héloïse Coen","Flower",,"2025-04-28T10:03:13.574Z"
"dbgi_007593","jbuf","Tulipa - Hybriden 'Spring Green'","Héloïse Coen","Flower",,"2025-04-28T10:03:13.597Z"
"dbgi_007578","jbuf","Scilla ramburei Boiss.","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.620Z"
"dbgi_007627","jbuf","Scilla ramburei Boiss.","Héloïse Coen","Flower",,"2025-04-28T10:03:13.644Z"
"dbgi_007597","jbuf","Hyacinthoides non-scripta (L.) Rothm.","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.667Z"
"dbgi_007598","jbuf","Hyacinthoides non-scripta (L.) Rothm.","Héloïse Coen","Flower",,"2025-04-28T10:03:13.690Z"
"dbgi_007556","jbuf","Leucojum aestivum L.","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.713Z"
"dbgi_007592","jbuf","Leucojum aestivum L.","Héloïse Coen","Flower",,"2025-04-28T10:03:13.736Z"
"dbgi_007733","jbuf","Tulipa - Hybriden 'Couleur Cardinal'","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.760Z"
"dbgi_007778","jbuf","Tulipa - Hybriden 'Couleur Cardinal'","Héloïse Coen","Flower",,"2025-04-28T10:03:13.783Z"
"dbgi_007634","jbuf","Maianthemum stellatum (L.) Link","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.806Z"
"dbgi_007606","jbuf","Maianthemum stellatum (L.) Link","Héloïse Coen","Flower",,"2025-04-28T10:03:13.829Z"
"dbgi_007820","jbuf","Camassia leichtlinii S. Watson","Héloïse Coen","Leaf",,"2025-04-28T10:03:13.852Z"
"dbgi_007756","jbuf","Gladiolus communis L.","Héloïse Coen","Flower",,"2025-04-28T12:02:31.026Z"
"dbgi_007723","jbuf","Geranium malviflorum Boiss. et Reut.","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.173Z"
"dbgi_007718","jbuf","Geranium malviflorum Boiss. et Reut.","Héloïse Coen","Flower",,"2025-04-28T18:03:08.195Z"
"dbgi_007757","jbuf","Bellevalia romana (L.) Sweet","Héloïse Coen","Flower",,"2025-04-28T18:03:08.217Z"
"dbgi_007708","jbuf","Narcissus papyraceus subsp. panizzianus (Parl.) Arcang..","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.240Z"
"dbgi_007616","jbuf","Narcissus papyraceus subsp. panizzianus (Parl.) Arcang..","Héloïse Coen","Flower",,"2025-04-28T18:03:08.262Z"
"dbgi_007574","jbuf","Iris pumila L.","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.283Z"
"dbgi_007501","jbuf","Iris pumila L.","Héloïse Coen","Flower",,"2025-04-28T18:03:08.305Z"
"dbgi_007588","jbuf","Narcissus poeticus aggr.","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.327Z"
"dbgi_007555","jbuf","Narcissus poeticus aggr.","Héloïse Coen","Flower",,"2025-04-28T18:03:08.352Z"
"dbgi_007633","jbuf","Fritillaria acmopetala Boiss.","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.383Z"
"dbgi_007546","jbuf","Fritillaria acmopetala Boiss.","Héloïse Coen","Flower",,"2025-04-28T18:03:08.406Z"
"dbgi_007531","jbuf","Iris orientalis Mill.","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.427Z"
"dbgi_007582","jbuf","Asphodelus ramosus L.","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.450Z"
"dbgi_007568","jbuf",,"Héloïse Coen","Leaf","Paeonia algeriensis","2025-04-28T18:03:08.472Z"
"dbgi_007569","jbuf",,"Héloïse Coen","Flower","Paeonia algeriensis","2025-04-28T18:03:08.495Z"
"dbgi_007517","jbuf","Eranthis hyemalis (L.) Salisb.","Héloïse Coen","Leaf",,"2025-04-28T18:03:08.517Z"
