"sample_id","qfield_project","taxon_name","collector_fullname","observation_subject","name_proposition","date_created"
"dbgi_007641","jbuf","Galanthus nivalis L.","Jade Dandois","Leaf",,"2025-03-21T19:02:08.573Z"
"dbgi_007712","jbuf","Galanthus nivalis L.","Jade Dandois","Flower",,"2025-03-21T19:02:08.596Z"
"dbgi_007697","jbuf","Scilla mischtschenkoana Grossh.","Jade Dandois","Leaf",,"2025-03-21T19:02:08.619Z"
"dbgi_007672","jbuf","Scilla mischtschenkoana Grossh.","Jade Dandois","Flower",,"2025-03-21T19:02:08.641Z"
"dbgi_007722","jbuf","Scilla sardensis ( Barr & Sayden) Speta","Jade Dandois","Leaf",,"2025-03-21T19:02:08.663Z"
"dbgi_007676","jbuf","Scilla sardensis ( Barr & Sayden) Speta","Jade Dandois","Flower",,"2025-03-21T19:02:08.685Z"
"dbgi_007721","jbuf","Crocus flavus Weston","Jade Dandois","Leaf",,"2025-03-21T19:02:08.707Z"
"dbgi_007667","jbuf","Crocus flavus Weston","Jade Dandois","Flower",,"2025-03-21T19:02:08.729Z"
"dbgi_007716","jbuf","Puschkinia scilloides Adams","Jade Dandois","Leaf",,"2025-03-21T19:02:08.751Z"
"dbgi_007687","jbuf","Puschkinia scilloides Adams","Jade Dandois","Flower",,"2025-03-21T19:02:08.773Z"
"dbgi_007726","jbuf","Scilla bifolia L.","Jade Dandois","Leaf",,"2025-03-21T19:02:08.795Z"
"dbgi_007707","jbuf","Scilla bifolia L.","Jade Dandois","Flower",,"2025-03-21T19:02:08.817Z"
"dbgi_007692","jbuf","Muscari botryoides (L.) Mill.","Jade Dandois","Leaf",,"2025-03-21T19:02:08.839Z"
"dbgi_007758","jbuf","Muscari botryoides (L.) Mill.","Jade Dandois","Flower",,"2025-03-21T19:02:08.861Z"
"dbgi_007736","jbuf",,"Jade Dandois","Leaf","Narcissus albicans (Haw.) Spreng ","2025-03-21T19:02:08.883Z"
"dbgi_007720","jbuf","Narcissus poeticus L.","Jade Dandois","Leaf",,"2025-04-14T16:02:27.946Z"
"dbgi_007695","jbuf","Allium atropurpureum Waldst. et Kit.","Jade Dandois","Leaf",,"2025-04-14T16:02:27.971Z"
"dbgi_007686","jbuf","Narcissus bulbocodium L.","Jade Dandois","Leaf",,"2025-04-14T16:02:28.001Z"
"dbgi_007705","jbuf","Narcissus bulbocodium L.","Jade Dandois","Flower",,"2025-04-14T16:02:28.024Z"
"dbgi_007526","jbuf","Asphodeline liburnica (Scop.) Rchb.","Jade Dandois","Leaf",,"2025-04-14T16:02:28.049Z"
"dbgi_007653","jbuf","Allium schubertii Zucc.","Jade Dandois","Leaf",,"2025-04-14T16:02:28.078Z"
"dbgi_007612","jbuf","Tulipa - Hybriden 'Spring Green'","Jade Dandois","Leaf",,"2025-04-14T16:02:28.102Z"
"dbgi_007607","jbuf","Allium carinatum subsp. pulchellum Bonnier et Layens","Jade Dandois","Leaf",,"2025-04-14T16:02:28.127Z"
"dbgi_007678","jbuf","Fritillaria pontica Wahlenb.","Jade Dandois","Leaf",,"2025-04-14T16:02:28.161Z"
"dbgi_007663","jbuf","Tulipa didieri Jord.","Jade Dandois","Leaf",,"2025-04-14T16:02:28.190Z"
"dbgi_007603","jbuf","Gladiolus communis L.","Jade Dandois","Leaf",,"2025-04-14T16:02:28.218Z"
"dbgi_007545","jbuf","Scilla peruviana L.","Jade Dandois","Leaf",,"2025-04-14T16:02:28.246Z"
"dbgi_007541","jbuf","Corydalis cava (L.) Schweigg. & Krte","Jade Dandois","Leaf",,"2025-04-14T16:02:28.270Z"
"dbgi_007602","jbuf","Corydalis cava (L.) Schweigg. & Krte","Jade Dandois","Flower",,"2025-04-14T16:02:28.293Z"
"dbgi_007528","jbuf","Lilium pomponium L.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.409Z"
"dbgi_007543","jbuf","Paeonia officinalis L.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.436Z"
"dbgi_007518","jbuf","Asphodelus albus Mill.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.460Z"
"dbgi_007559","jbuf","Lilium pyrenaicum Gouam.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.482Z"
"dbgi_007503","jbuf","Paeonia mascula (L.) Mill. s.l.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.513Z"
"dbgi_007538","jbuf","Iris lutescens Lam.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.542Z"
"dbgi_007780","jbuf","Allium narcissiflorum Vill.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.564Z"
"dbgi_007698","jbuf","Narcissus pseudonarcissus L.","Jade Dandois","Leaf",,"2025-04-28T18:03:42.586Z"
