id;uid;codeBcgi;acceptedDetermination;cultivar;family;ipenCode;site;area;place;groupe;locationType;locationUid;dateDeath;dateDeathPrecision;correspondingName;acquisitionName;provenanceType;genus;infraSpecies;number;species;instituteName
6855f58990c6dd09a3905ce9;bfb905d7-8763-4f78-96e0-ee21bfdb423d;FRIBG;Eremurus robustus Regel;;Asphodelaceae;XX-0-FRIBG-20220296;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Vogt Stauden VS$;Eremurus robustus (Regel) Regel;enum_unknown;Eremurus;;20220296I1;robustus;
6855f58990c6dd09a3905cf5;390e362e-7711-4f5f-9528-f3abd12ef78b;FRIBG;Tulipa saxatilis Sieber ex Spreng.;;Liliaceae;XX-0-FRIBG-20210340;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Sativa Rheinau AG SRAG$;Tulipa saxatilis Spreng.;enum_unknown;Tulipa;;20210340I0;saxatilis;
6855f58990c6dd09a3905d1a;f9b09d66-ac68-4475-ab7e-d4809a188150;FRIBG;Belamcanda chinensis (L.) Redouté;;Iridaceae;XX-0-FRIBG-20180377;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Conservatoire et Jardin botaniques de la Ville de Genève G;Belamcanda chinensis (L.) DC.;enum_unknown;Belamcanda;;20180377I0;chinensis;
6855f58990c6dd09a3905d19;ead115bf-11bf-4d4e-960e-2cb04aa5ba32;FRIBG;Scadoxus multiflorus subsp. katharinae (Baker) Friis & Nordal;;Amaryllidaceae;XX-0-FRIBG-20180001;Jardin botanique de l'Université de Fribourg;;Géophytes;5. Afrique;Groupe;d5163f25-aea2-4511-81de-6733c1d40e24;;;Le Potager Extraordinaire Les Mares LPELM$;Scadoxus multiflorus subsp. katharinae (Baker) Friis & Nordal;enum_unknown;Scadoxus;katharinae;20180001I0;multiflorus;
6855f58990c6dd09a3905d1e;de0db5d6-f8ca-4299-8217-742c08fd9fe9;FRIBG;Fritillaria lusitanica Wikstr.;;Liliaceae;XX-0-FRIBG-20170405;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Jardin Botanico Universitario de Granada Depart. de Botanica, Fac. de Farmacia, Univ. de Granada JBUGDBFFUG$;Fritillaria lusitanica Wikstr.;enum_unknown;Fritillaria;;20170405I0;lusitanica;
6855f58990c6dd09a3905d2e;b4aa633d-ff53-4b17-b5b6-710483e71edd;FRIBG;Agapanthus L'Hér. 'Alba';Alba;Amaryllidaceae;XX-0-FRIBG-20100505;Jardin botanique de l'Université de Fribourg;;Géophytes;5. Afrique;Groupe;d5163f25-aea2-4511-81de-6733c1d40e24;;;Fournisseur inconnu F$;Agapanthus - Headbourne- Hybriden 'Alba';enum_unknown;Agapanthus;;20100505I0;;
6855f58990c6dd09a3905d34;59b80a7f-ee6f-4516-a4f3-13c359d913ce;FRIBG;Iris dichotoma Pall.;;Iridaceae;XX-0-FRIBG-20190388;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Botanical Garden of Perm State University BGPSU$-㶖焮𒇐;Iris dichotoma Pall.;enum_unknown;Iris;;20190388I0;dichotoma;
6855f58990c6dd09a3905d4f;7b8f0af3-53c9-411d-a0ba-2b6252cf04d9;FRIBG;Iris pumila L.;;Iridaceae;XX-0-FRIBG-10002864;Jardin botanique de l'Université de Fribourg;;Géophytes;1. Europe du Nord et du Centre;Groupe;c28d85ee-56e9-4742-85f4-039ab10f83b8;;;Fournisseur inconnu F$;Iris pumila L.;enum_unknown;Iris;;10012414I0;pumila;
6855f58990c6dd09a3905d59;c6a1ba3d-3a9e-4c8b-a937-f6f42557d6f7;FRIBG;Lilium monadelphum M.Bieb.;;Liliaceae;XX-0-NGOET-2337;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Experimenteller Botanischer Gartren der Universität NGOET;Lilium monadelphum Adams;enum_unknown;Lilium;;20170193I0;monadelphum;
6855f58990c6dd09a3905d8c;d9b44fd3-79ce-434a-96f6-4ee125e3fa06;FRIBG;Lilium davidii var. willmottiae (E.H.Wilson) Raffill;;Liliaceae;CN-0-GB-2008-2638;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Botanical Garden GB;Lilium davidii var. willmottiae (E.H.Wilson) Raffill;enum_wildcultivated;Lilium;willmottiae;20220173C0;davidii;
6855f58990c6dd09a3905da0;c5bea476-9119-4a94-811e-3011f700f64c;FRIBG;Narcissus poeticus L. subsp. poeticus;;Amaryllidaceae;FR-0-FRIBG-20090338;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Maxime Rome, Jardin du Lautaret Univ. Grenoble Alpes - Bat. D Biologie MRJLUGABDB$;Narcissus poeticus L. subsp. poeticus;enum_wild;Narcissus;poeticus;20090338N0;poeticus;
6855f58990c6dd09a3905dbb;32594202-7943-416d-8484-567f0445cf68;FRIBG;Triteleia hyacinthina (Lindl.) Greene;;Asparagaceae;XX-0-FRIBG-20090275;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;The Royal Horticultural Society's Garden Wisley Seed (Exchange) TRHSGWSE$;Triteleia hyacinthina (Lindley) Greene;enum_unknown;Triteleia;;20090275I0;hyacinthina;
6855f58990c6dd09a3905e1b;1c20ffe2-5bfe-481f-93b5-f04326e2d288;FRIBG;Sedum album L.;;Crassulaceae;XX-0-FRIBG-19970477;Jardin botanique de l'Université de Fribourg;;Géophytes;;Place;f8943048-2bd6-4902-9ea8-4fb43f3d3241;;;Fournisseur inconnu F$;Sedum album L.;enum_unknown;Sedum;;19970477I0;album;
6855f58990c6dd09a3905e29;381c8159-ad82-4628-b39b-05e0e1590640;FRIBG;Crocus hadriaticus Herb.;;Iridaceae;GR-0-WURZB-00-39-K-34;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Botanischer Garten Universität Würzburg WURZB;Crocus hadriaticus Herb.;enum_wildcultivated;Crocus;;20090310C0;hadriaticus;
6855f58990c6dd09a3905e66;dd096a01-1b3a-4ce2-8e36-81533e909137;FRIBG;Ipheion uniflorum (Graham) Raf. 'Rolf Fiedler';Rolf Fiedler;Amaryllidaceae;UY-0-WURZB-90-380-K-30;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;Botanischer Garten Universität Würzburg WURZB;Ipheion uniflorum (Graham) Raf. 'Rolf Fiedler';enum_wildcultivated;Ipheion;;20090398C0;uniflorum;
6855f58990c6dd09a3905e6b;a7a6c405-bf82-419e-b726-477ed8f93b15;FRIBG;Ferraria crispa Burm.;;Iridaceae;ZA-0-FRIBG-20010423;Jardin botanique de l'Université de Fribourg;;Géophytes;5. Afrique;Groupe;d5163f25-aea2-4511-81de-6733c1d40e24;;;Botanischer Garten der Universität BASEL;Ferraria crispa Burm.;enum_wildcultivated;Ferraria;;20010423C1;crispa;
